Timestamp,timestamp,x,y,z,joint,mode,targetId
49,2025-12-19T08:42:01.2447035Z,0.17277145714285724,0.14010614285714293,0.2023300285714287,HandRight,Free,3
50,2025-12-19T08:42:01.3037364Z,0.17177977142857154,0.1427883714285715,0.21015571428571442,HandRight,Free,3
51,2025-12-19T08:42:01.3691404Z,0.17071685714285723,0.1473100571428572,0.2205239142857144,HandRight,Free,3
52,2025-12-19T08:42:01.4296630Z,0.1682486000000001,0.15190011428571437,0.2303892285714287,HandRight,Free,3
53,2025-12-19T08:42:01.4919613Z,0.1622966000000001,0.15488960000000007,0.23905131428571444,HandRight,Free,3
54,2025-12-19T08:42:01.5572923Z,0.15672157142857152,0.15648845714285722,0.24820111428571445,HandRight,Free,3
55,2025-12-19T08:42:01.6162196Z,0.15379214285714293,0.15832302857142863,0.2599238285714287,HandRight,Free,3
56,2025-12-19T08:42:01.6794066Z,0.15346751428571437,0.1637683714285715,0.2739639142857144,HandRight,Free,3
57,2025-12-19T08:42:01.7443151Z,0.15215834285714294,0.1707308000000001,0.288732742857143,HandRight,Free,3
58,2025-12-19T08:42:01.8060138Z,0.15137631428571438,0.17818988571428582,0.3033498285714288,HandRight,Free,3
59,2025-12-19T08:42:01.8681832Z,0.1527654857142858,0.18328900000000012,0.3183174000000002,HandRight,Free,3
60,2025-12-19T08:42:01.9304682Z,0.14716491428571438,0.1872628000000001,0.32760317142857165,HandRight,Free,3
61,2025-12-19T08:42:01.9915518Z,0.1391690857142858,0.1903835142857144,0.3348339142857145,HandRight,Free,3
62,2025-12-19T08:42:02.0558841Z,0.1335249714285715,0.19391405714285725,0.34253680000000014,HandRight,Free,3
63,2025-12-19T08:42:02.1175889Z,0.13355814285714296,0.19656834285714297,0.3499944857142859,HandRight,Free,3
64,2025-12-19T08:42:02.1791802Z,0.1390658857142858,0.20355208571428582,0.3602536857142859,HandRight,Free,3
65,2025-12-19T08:42:02.2438402Z,0.1467756000000001,0.21287260000000013,0.37167585714285734,HandRight,Free,3
66,2025-12-19T08:42:02.3049789Z,0.15263157142857153,0.22173942857142867,0.3811726000000002,HandRight,Free,3
67,2025-12-19T08:42:02.3675055Z,0.1524142857142858,0.22691357142857158,0.3841232000000002,HandRight,Free,3
68,2025-12-19T08:42:02.4294815Z,0.15350574285714297,0.231811142857143,0.38789342857142883,HandRight,Free,3
69,2025-12-19T08:42:02.4924757Z,0.1539278857142858,0.23454340000000015,0.3932871714285717,HandRight,Free,3
70,2025-12-19T08:42:02.5560570Z,0.15562577142857154,0.2351748285714287,0.3994217142857145,HandRight,Free,3
71,2025-12-19T08:42:02.6178582Z,0.15978214285714296,0.23535957142857156,0.4076322285714288,HandRight,Free,3
72,2025-12-19T08:42:02.6793204Z,0.16549177142857152,0.23552020000000012,0.4151135428571431,HandRight,Free,3
73,2025-12-19T08:42:02.7433572Z,0.1694445142857144,0.23558968571428587,0.42138168571428597,HandRight,Free,3
74,2025-12-19T08:42:02.8048918Z,0.17097682857142865,0.23597471428571443,0.42667674285714313,HandRight,Free,3
75,2025-12-19T08:42:02.8672437Z,0.17079485714285725,0.2371197142857144,0.4340985428571431,HandRight,Free,3
76,2025-12-19T08:42:02.9292581Z,0.17108362857142867,0.23915580000000014,0.44561671428571453,HandRight,Free,3
77,2025-12-19T08:42:02.9948217Z,0.17046537142857154,0.24129851428571444,0.46043020000000023,HandRight,Free,3
78,2025-12-19T08:42:03.0571462Z,0.1682770000000001,0.24344702857142872,0.47504634285714314,HandRight,Free,3
79,2025-12-19T08:42:03.1158736Z,0.15309157142857152,0.24513417142857158,0.48909725714285746,HandRight,Free,3
80,2025-12-19T08:42:03.1789619Z,0.12678354285714294,0.24628974285714303,0.49888462857142885,HandRight,Free,3
81,2025-12-19T08:42:03.2438821Z,0.10371754285714294,0.24674785714285732,0.5101453142857145,HandRight,Free,3
82,2025-12-19T08:42:03.3049030Z,0.09664742857142863,0.24687137142857157,0.5259021428571432,HandRight,Free,3
83,2025-12-19T08:42:03.3679254Z,0.09607842857142862,0.2465480571428573,0.5481969428571433,HandRight,Free,3
84,2025-12-19T08:42:03.4298540Z,0.09517291428571434,0.24643228571428588,0.5692850285714288,HandRight,Free,3
85,2025-12-19T08:42:03.4919653Z,0.09451257142857149,0.246537342857143,0.5888875428571432,HandRight,Free,3
86,2025-12-19T08:42:03.5576345Z,0.09411271428571434,0.24665880000000015,0.6076624000000004,HandRight,Free,3
87,2025-12-19T08:42:03.6160108Z,0.0964338571428572,0.24644120000000014,0.6298838571428576,HandRight,Free,3
88,2025-12-19T08:42:03.6813916Z,0.0997221428571429,0.24619811428571442,0.6482867714285718,HandRight,Free,3
89,2025-12-19T08:42:03.7419603Z,0.10204328571428575,0.24535725714285728,0.664600228571429,HandRight,Free,3
90,2025-12-19T08:42:03.8047539Z,0.10150971428571434,0.243198742857143,0.6767797714285718,HandRight,Free,3
91,2025-12-19T08:42:03.8661484Z,0.10438868571428576,0.24068751428571442,0.6922494285714289,HandRight,Free,3
92,2025-12-19T08:42:03.9312196Z,0.0920479428571429,0.2348458571428573,0.7030748857142861,HandRight,Free,3
93,2025-12-19T08:42:03.9934789Z,0.0740819428571429,0.2283576285714287,0.7127714857142862,HandRight,Free,3
94,2025-12-19T08:42:04.0545760Z,0.05976160000000003,0.22312388571428587,0.722385371428572,HandRight,Free,3
95,2025-12-19T08:42:04.1173145Z,0.058815828571428606,0.2220464285714287,0.7326191714285719,HandRight,Free,3
96,2025-12-19T08:42:04.1796967Z,0.05626754285714289,0.22080585714285728,0.7407048857142862,HandRight,Free,3
97,2025-12-19T08:42:04.2417742Z,0.0543848285714286,0.2187406285714287,0.7477123714285719,HandRight,Free,3
98,2025-12-19T08:42:04.3033201Z,0.04791908571428574,0.2148766000000001,0.7565798857142861,HandRight,Free,3
99,2025-12-19T08:42:04.3679719Z,0.03772668571428574,0.2102842857142858,0.7700572571428576,HandRight,Free,3
100,2025-12-19T08:42:04.4294162Z,0.030386542857142877,0.2054734000000001,0.7833827428571432,HandRight,Free,3
101,2025-12-19T08:42:04.4924918Z,0.028371542857142874,0.20113520000000012,0.795293028571429,HandRight,Free,3
102,2025-12-19T08:42:04.5560805Z,0.02655165714285716,0.19712365714285726,0.8046516000000004,HandRight,Free,3
103,2025-12-19T08:42:04.6184174Z,0.023381257142857156,0.1921810857142858,0.8191460000000005,HandRight,Free,3
104,2025-12-19T08:42:04.6814712Z,0.020375885714285728,0.1873610857142858,0.8328500000000005,HandRight,Free,3
105,2025-12-19T08:42:04.7428351Z,0.018757657142857154,0.18372657142857154,0.8464416571428576,HandRight,Free,3
106,2025-12-19T08:42:04.8059785Z,0.017755971428571445,0.18211402857142867,0.8623142857142863,HandRight,Free,3
107,2025-12-19T08:42:04.8683338Z,0.016464314285714297,0.18084522857142868,0.8820350571428576,HandRight,Free,3
108,2025-12-19T08:42:04.9297193Z,0.015033600000000008,0.1805086857142858,0.9009280571428577,HandRight,Free,3
109,2025-12-19T08:42:04.9917972Z,0.014072485714285723,0.18051902857142868,0.9171450285714291,HandRight,Free,3
110,2025-12-19T08:42:05.0536754Z,0.013932628571428577,0.17975614285714298,0.9332239428571434,HandRight,Free,3
111,2025-12-19T08:42:05.1157883Z,0.013924428571428577,0.1739901714285715,0.947266028571429,HandRight,Free,3
112,2025-12-19T08:42:05.1814521Z,0.010371914285714292,0.16787351428571437,0.9603086857142863,HandRight,Free,3
113,2025-12-19T08:42:05.2430228Z,0.0034851428571428603,0.1627618000000001,0.9708144857142862,HandRight,Free,3
114,2025-12-19T08:42:05.3046410Z,-0.003281200000000001,0.15908557142857152,0.9815798857142863,HandRight,Free,3
115,2025-12-19T08:42:05.3681747Z,-0.0065556000000000034,0.15462857142857153,0.9921799142857148,HandRight,Free,3
116,2025-12-19T08:42:05.4294522Z,-0.006143257142857148,0.15298631428571438,1.0036838000000006,HandRight,Free,3
117,2025-12-19T08:42:05.4917252Z,-0.011576400000000008,0.14956494285714292,1.013616428571429,HandRight,Free,3
118,2025-12-19T08:42:05.5541446Z,-0.020016857142857156,0.1450512857142858,1.025118971428572,HandRight,Free,3
119,2025-12-19T08:42:05.6175821Z,-0.02749614285714287,0.14030494285714293,1.035640257142858,HandRight,Free,3
120,2025-12-19T08:42:05.6816917Z,-0.027018085714285735,0.13519062857142863,1.0422304571428578,HandRight,Free,3
121,2025-12-19T08:42:05.7435029Z,-0.033831371428571455,0.12586745714285721,1.0468094857142864,HandRight,Free,3
122,2025-12-19T08:42:05.8057581Z,-0.03985871428571432,0.11864637142857151,1.0540428285714292,HandRight,Free,3
123,2025-12-19T08:42:05.8679834Z,-0.05661934285714289,0.11233431428571436,1.0657882571428579,HandRight,Free,3
124,2025-12-19T08:42:05.9301572Z,-0.07008660000000004,0.10967471428571436,1.0744647428571434,HandRight,Free,3
125,2025-12-19T08:42:05.9914833Z,-0.08228545714285719,0.09878231428571436,1.0824088857142864,HandRight,Free,3
126,2025-12-19T08:42:06.0536402Z,-0.08214251428571433,0.0842182571428572,1.0883232571428578,HandRight,Free,3
127,2025-12-19T08:42:06.1158304Z,-0.08475368571428576,0.07151928571428577,1.0934823428571434,HandRight,Free,3
128,2025-12-19T08:42:06.1814254Z,-0.08445237142857148,0.06775191428571434,1.0941267142857147,HandRight,Free,3
129,2025-12-19T08:42:06.2422762Z,-0.08977622857142864,0.06553120000000004,1.0939699428571434,HandRight,Free,3
130,2025-12-19T08:42:06.3037126Z,-0.09618071428571434,0.06293168571428574,1.0946006857142865,HandRight,Free,3
131,2025-12-19T08:42:06.3679235Z,-0.10054005714285721,0.060470200000000036,1.095796228571429,HandRight,Free,3
132,2025-12-19T08:42:06.4297953Z,-0.0998608571428572,0.05536385714285718,1.0972817428571435,HandRight,Free,3
133,2025-12-19T08:42:06.4917458Z,-0.10056168571428575,0.047865885714285746,1.0991804000000007,HandRight,Free,3
134,2025-12-19T08:42:06.5565460Z,-0.10097551428571434,0.0404092285714286,1.1017508285714293,HandRight,Free,3
135,2025-12-19T08:42:06.6190235Z,-0.0996060571428572,0.03616448571428574,1.1035298571428578,HandRight,Free,3
136,2025-12-19T08:42:06.6816301Z,-0.09795075102040822,0.033670628571428586,1.103571428571429,HandRight,Free,3
137,2025-12-19T08:42:06.7434322Z,-0.0975723959183674,0.030666085714285737,1.1052256285714293,HandRight,Free,3
138,2025-12-19T08:42:06.8046576Z,-0.09891047755102048,0.027153167346938796,1.1081520775510212,HandRight,Free,3
139,2025-12-19T08:42:06.8674779Z,-0.0999038408163266,0.024343065306122465,1.1103766734693885,HandRight,Free,3
140,2025-12-19T08:42:06.9299823Z,-0.1001723959183674,0.02088242448979593,1.110633363265307,HandRight,Free,3
141,2025-12-19T08:42:06.9910065Z,-0.10074560408163272,0.016808057142857158,1.1114019428571438,HandRight,Free,3
142,2025-12-19T08:42:07.0550002Z,-0.10209213469387762,0.012870771428571438,1.1126642857142863,HandRight,Free,3
143,2025-12-19T08:42:07.1168081Z,-0.10388156326530618,0.008907453061224497,1.113827714285715,HandRight,Free,3
144,2025-12-19T08:42:07.1800170Z,-0.10504530204081637,0.004736816326530619,1.1149911428571435,HandRight,Free,3
145,2025-12-19T08:42:07.2416942Z,-0.10544813469387762,0.00198552653061225,1.1160722367346945,HandRight,Free,3
146,2025-12-19T08:42:07.3046396Z,-0.10548381632653067,0.0009730816326530648,1.1175675265306129,HandRight,Free,3
147,2025-12-19T08:42:07.3677346Z,-0.10737000816326536,0.0011109795918367376,1.1192448081632658,HandRight,Free,3
148,2025-12-19T08:42:07.4314217Z,-0.09660153469387761,0.0003768367346938808,1.1205620285714293,HandRight,Free,3
149,2025-12-19T08:42:07.4932765Z,-0.08135258367346943,0.0032987306122449034,1.1211345428571433,HandRight,Free,3
150,2025-12-19T08:42:07.5560849Z,-0.062026314285714326,0.008282232653061232,1.121416428571429,HandRight,Free,3
151,2025-12-19T08:42:07.6159889Z,-0.05020665714285717,0.012394142857142866,1.121416428571429,HandRight,Free,3
152,2025-12-19T08:42:07.6801648Z,-0.041233285714285736,0.011085114285714296,1.1212734857142863,HandRight,Free,3
153,2025-12-19T08:42:07.7423607Z,-0.034633314285714305,0.01707774285714287,1.1200798857142864,HandRight,Free,3
154,2025-12-19T08:42:07.8041823Z,-0.02694222857142859,0.02574242857142859,1.118295771428572,HandRight,Free,3
155,2025-12-19T08:42:07.8659163Z,-0.021386314285714303,0.03203400000000002,1.1161856571428581,HandRight,Free,3
156,2025-12-19T08:42:07.9309439Z,-0.022561628571428585,0.030799571428571447,1.1148528000000006,HandRight,Free,3
157,2025-12-19T08:42:07.9927920Z,-0.022452771428571442,0.03140554285714288,1.1134128285714295,HandRight,Free,3
158,2025-12-19T08:42:08.0536755Z,-0.022646485714285725,0.03193948571428574,1.1122638000000007,HandRight,Free,3
159,2025-12-19T08:42:08.1161475Z,-0.022995857142857158,0.03259545714285716,1.1076924857142862,HandRight,Free,3
160,2025-12-19T08:42:08.1805518Z,-0.02306408571428573,0.032977942857142874,1.1021698285714292,HandRight,Free,3
161,2025-12-19T08:42:08.2409023Z,-0.023343371428571444,0.03412977142857145,1.097129257142858,HandRight,Free,3
162,2025-12-19T08:42:08.3050531Z,-0.027839485714285732,0.03094051428571431,1.095697857142858,HandRight,Free,3
163,2025-12-19T08:42:08.3670164Z,-0.03391174285714288,0.025621485714285727,1.0941596857142861,HandRight,Free,3
164,2025-12-19T08:42:08.4316886Z,-0.03802454285714288,0.02121497142857144,1.093283171428572,HandRight,Free,3
165,2025-12-19T08:42:08.4940337Z,-0.03740028571428573,0.02203388571428573,1.092368971428572,HandRight,Free,3
166,2025-12-19T08:42:08.5557695Z,-0.036632285714285735,0.023149057142857157,1.0923400857142864,HandRight,Free,3
167,2025-12-19T08:42:08.6172316Z,-0.03597674285714288,0.023890314285714302,1.0923349428571434,HandRight,Free,3
168,2025-12-19T08:42:08.6786979Z,-0.03576737142857145,0.023809571428571444,1.0923908285714292,HandRight,Free,3
169,2025-12-19T08:42:08.7411489Z,-0.03576737142857145,0.023872314285714305,1.092813371428572,HandRight,Free,3
170,2025-12-19T08:42:08.8037950Z,-0.03586060000000002,0.02409868571428573,1.0954875714285721,HandRight,Free,3
171,2025-12-19T08:42:08.8660176Z,-0.036980714285714304,0.02328448571428573,1.1002722285714293,HandRight,Free,3
172,2025-12-19T08:42:08.9291107Z,-0.03811422857142859,0.02161214285714287,1.1059995714285722,HandRight,Free,3
173,2025-12-19T08:42:08.9942550Z,-0.03910371428571431,0.018612314285714297,1.1101968285714292,HandRight,Free,3
174,2025-12-19T08:42:09.0563862Z,-0.04140534285714288,0.016063142857142873,1.1123562857142864,HandRight,Free,3
175,2025-12-19T08:42:09.1182799Z,-0.044869200000000026,0.014465457142857154,1.1126490857142863,HandRight,Free,3
176,2025-12-19T08:42:09.1794473Z,-0.044967771428571446,0.013473885714285726,1.1126940000000007,HandRight,Free,3
177,2025-12-19T08:42:09.2418988Z,-0.04228408571428574,0.012215914285714296,1.112784114285715,HandRight,Free,3
178,2025-12-19T08:42:09.3059956Z,-0.040401714285714305,0.012486857142857152,1.1119641142857148,HandRight,Free,3
179,2025-12-19T08:42:09.3674196Z,-0.04117880000000002,0.012810114285714295,1.1114592571428576,HandRight,Free,3
180,2025-12-19T08:42:09.4295031Z,-0.046091171428571456,0.01224680000000001,1.1117284000000005,HandRight,Free,3
181,2025-12-19T08:42:09.4917925Z,-0.05388420000000003,0.010332742857142864,1.112382914285715,HandRight,Free,3
182,2025-12-19T08:42:09.5560065Z,-0.0538962285714286,0.006637085714285721,1.112363971428572,HandRight,Free,3
183,2025-12-19T08:42:09.6175636Z,-0.04796480000000003,0.0024115714285714335,1.1112120857142862,HandRight,Free,3
184,2025-12-19T08:42:09.6796504Z,-0.042481799999999986,0.0,1.1088709428571424,HandRight,Free,3
185,2025-12-19T08:42:09.7410776Z,-0.04522329999999994,0.0012057857142857079,1.1063100142857134,HandRight,Free,3
