Timestamp,Position_X,Position_Y,Position_Z,Camera_ID,Trial_ID,Modus,Target_ID
40,0.038488657142857166,0.1933886000000001,0.28953340000000016,merged,1,Free,1
41,0.0370790285714286,0.1880788000000001,0.29680385714285734,merged,1,Free,1
42,0.032123314285714306,0.18279585714285723,0.30168477142857164,merged,1,Free,1
43,0.035735314285714304,0.1769242857142858,0.3080638285714288,merged,1,Free,1
44,0.04055274285714288,0.16957500000000011,0.31453051428571444,merged,1,Free,1
45,0.04159614285714288,0.16302762857142866,0.3180900857142859,merged,1,Free,1
46,0.03572122857142859,0.1572115142857144,0.3188878285714287,merged,1,Free,1
47,0.03527020000000002,0.1520274000000001,0.3191712571428573,merged,1,Free,1
48,0.03273488571428573,0.1490282000000001,0.31948460000000023,merged,1,Free,1
49,0.027753800000000016,0.14926614285714296,0.3193726000000002,merged,1,Free,1
50,0.02508485714285716,0.15272585714285722,0.32180500000000023,merged,1,Free,1
51,0.025972542857142872,0.15863705714285722,0.3272868000000002,merged,1,Free,1
52,0.026781628571428587,0.16542911428571438,0.3360861714285716,merged,1,Free,1
53,0.026576285714285726,0.1699525714285715,0.343182742857143,merged,1,Free,1
54,0.01874077142857144,0.1765018857142858,0.35018814285714306,merged,1,Free,1
55,0.010650685714285724,0.18638848571428582,0.3590874000000002,merged,1,Free,1
56,0.008777457142857149,0.19977700000000012,0.3698420285714288,merged,1,Free,1
57,0.01779894285714287,0.21452271428571443,0.3797145142857145,merged,1,Free,1
58,0.02354705714285716,0.23414240000000014,0.38943885714285736,merged,1,Free,1
59,0.03779105714285717,0.25835640000000015,0.39963880000000024,merged,1,Free,1
60,0.050199514285714314,0.28922760000000014,0.41087311428571455,merged,1,Free,1
61,0.057131171428571464,0.31596528571428584,0.4203179142857145,merged,1,Free,1
62,0.06479608571428574,0.34139834285714304,0.43010191428571454,merged,1,Free,1
63,0.04213020000000003,0.3706304285714288,0.4434779142857146,merged,1,Free,1
64,0.043671285714285746,0.4059368571428573,0.45777654285714314,Cam1,1,Free,1
65,0.06725188571428575,0.4365109142857146,0.4686138000000003,merged,1,Free,1
66,0.10912954285714291,0.461032285714286,0.4769061428571431,merged,1,Free,1
67,0.10631371428571436,0.482520685714286,0.4863783428571431,merged,1,Free,1
68,0.10707520000000006,0.4997409714285717,0.49270780000000025,merged,1,Free,1
69,0.10852174285714292,0.5149644571428574,0.49629765714285745,merged,1,Free,1
70,0.10932382857142862,0.5242045714285718,0.49834602857142885,merged,1,Free,1
71,0.10994222857142863,0.5295718571428574,0.5003949142857145,merged,1,Free,1
72,0.10829591428571436,0.5308893142857145,0.5023231714285716,merged,1,Free,1
73,0.10514065714285721,0.5324728285714289,0.5046271428571432,merged,1,Free,1
74,0.09805128571428577,0.5323794857142861,0.5070518000000003,merged,1,Free,1
75,0.08644142857142863,0.5314922571428575,0.5098659142857145,merged,1,Free,1
76,0.06739402857142862,0.528443828571429,0.513952685714286,merged,1,Free,1
77,0.050003142857142885,0.525022228571429,0.5166482000000003,merged,1,Free,1
78,0.031120714285714304,0.5227713428571432,0.5196051714285719,merged,1,Free,1
79,0.010661342857142864,0.5227411714285717,0.5218450000000003,merged,1,Free,1
80,-0.006095599999999999,0.5249113142857146,0.5241168285714288,merged,1,Free,1
81,-0.009784314285714288,0.5283152000000002,0.5261750000000003,merged,1,Free,1
82,-0.008774400000000005,0.5333422000000003,0.5317918000000003,merged,1,Free,1
83,-0.007589971428571433,0.5394886285714289,0.5386488571428574,merged,1,Free,1
84,-0.007178628571428576,0.5540664857142861,0.544986028571429,merged,1,Free,1
85,-0.005315114285714288,0.5700389714285719,0.5487189428571432,merged,1,Free,1
86,-0.003988114285714289,0.5890656857142861,0.5501306571428575,merged,1,Free,1
87,-0.002149228571428573,0.6110699142857147,0.5478899428571431,merged,1,Free,1
88,-0.00011777142857142858,0.6419794571428575,0.5452092571428575,merged,1,Free,1
